Year	bcc_csm1_1	CCSM4	FGOALS_gl	FGOALS_s2	IPSL_CM5A_LR	MPI_ESM_P	CSIRO	GISS-E2-R_r1i1p121	GISS-E2-R_r1i1p127	GISS-E2-R_r1i1p127	HadCM3	CESM_member_1	CESM_member_2	CESM_member_3	CESM_member_4	CESM_member_5	CESM_member_6	CESM_member_7	CESM_member_8	CESM_member_9	CESM_member_10
1030	-0.50214646287879	-0.658828061214607	-0.288350886849943	-1.13694262416281	-0.555391287907762	-0.449598828570133	-0.454209782593534	-0.355409748631064	-0.261735147063155	-0.460696133627789	-0.398706441784452	-0.141550827026833	-0.179897308350064	-0.378496170044457	-0.137365341186523	0.0881126403809844	-0.252719879150561	-0.0845073699949239	-0.319356918335529	0.0794391632084626	0.0914337158206422
1031	-0.55828846702321	-0.597341898473344	-0.518335025110393	-1.23231120953184	-0.587607018027454	-0.509157278258066	-0.327344187014387	-0.276805706101004	-0.311099147622008	-0.477563652052777	-0.426903253460478	-0.0091655731197875	-0.163417816162053	-0.255723953247468	-0.0208187103275463	-0.160636138916004	-0.208377838134595	-0.0264934539799242	-0.0820217132564949	0.0164203643794281	0.149844360351608
1032	-0.532201869295318	-0.641764955814073	-0.439150056989465	-1.10121277406432	-0.864037826465383	-0.532884426111357	-0.26970032643585	-0.318670101242606	-0.30260468107881	-0.385295721545117	-0.330375438595365	-0.0147808074947875	-0.0937461853030754	-0.288866043090422	0.0175724029544995	-0.218833160399981	-0.0102272033685722	0.0436969757080874	-0.00505638122552909	0.0286579132084626	-0.119992065429358
1033	-0.568902875893213	-0.57159055922778	-0.410155825409077	-1.18397801259803	-1.00426497409107	-0.651794886558364	-0.258928694241331	-0.308380462008063	-0.312456971232314	-0.321927728905575	-0.292578464413236	-0.0205181121827991	-0.0949668884280754	-0.281389236450423	-0.0502986907955005	-0.194907379149981	0.291408538818416	0.00808296203609871	-0.131826400756495	-0.0598735809325603	-0.269894409179358
1034	-0.63480308272653	-0.556228080531267	-0.279479465669377	-1.28427030599813	-0.803361381885513	-0.553931443867289	-0.335456557982252	-0.273337341623846	-0.301882660214324	-0.427537354483502	-0.364405637646269	0.0810443878172009	-0.0325889587400638	-0.189683914184457	-0.109075546264535	-0.0123512268070272	0.242671966552393	0.03350410461411	-0.102529525756495	-0.129850387573526	-0.179592895508392
1035	-0.592058642701733	-0.437711131609037	-0.335350318671832	-1.1797878006287	-0.773648193791567	-0.50202325712977	-0.365217484944151	-0.230943210201804	-0.283864474121947	-0.462425622000592	-0.450237697029661	0.012044143676178	0.101840972899936	0.0395946502685547	-0.0501766204835121	-0.0340797424320272	-0.186008453368572	-0.156498336791913	0.133371353149471	-0.23199272155756	-0.234127807617369
1036	-0.597876574681501	-0.423358720579028	-0.47962202234386	-1.14823570494908	-0.848484459479826	-0.588190782373189	-0.37272692512779	-0.177845246868674	-0.381649857584853	-0.373467477812665	-0.50269109573419	-0.0459087371827991	0.161167144775959	0.0417919158935547	0.143793106079499	-0.00301284789998135	-0.212375640868572	0.0864215850830874	0.149576187133505	-0.201292037963526	-0.259671020508392
1037	-0.462061282587079	-0.538737574964925	-0.391634804883456	-1.12089901104152	-1.03238024137369	-0.551145563772248	-0.35937882255821	-0.318425155954901	-0.451187377993483	-0.435448977007763	-0.517409628296446	-0.193613815307799	0.193393707275959	-0.099290847778434	0.00274085998546525	-0.0885536193849816	-0.0748329162595951	0.10552558898911	-0.0816555023195065	-0.0294780731205719	-0.102566528320381
1038	-0.475415076156981	-0.54125516906627	-0.33780821657093	-1.11212261119701	-1.1677896277119	-0.479360016015228	-0.398264177553938	-0.293985940294806	-0.346299326245207	-0.599768611445324	-0.246948963070463	-0.228586959838822	0.0830726623539704	-0.188646316528434	-0.205877304077546	-0.114554595947027	0.231807708740405	-0.105137252807879	-0.133596420288541	0.130464553832439	0.081729125976608
1039	-0.565402113937506	-0.427125518367197	-0.443014753682184	-1.07530246027896	-1.12172487626553	-0.423895061140259	-0.356367536299513	-0.356064416246954	-0.329213416401762	-0.523354681982892	-0.00978264775330899	-0.156412887573822	0.155185699462947	-0.138383865356445	-0.188909530639535	0.0310447692870071	0.199977874755405	-0.207676315307879	0.0147190093994709	-0.0259990692135261	-0.143978881836404
